Teams,Conference,2023 Returning Production,2023 Recruiting Class,2023 Offense EFF,2023 Defense EFF,2023 Special Teams EFF,2023 FPI,6+ Wins 2023,Made Playoffs 2023,Made National Championship 2023,Won National Championship 2023,2024 Returning Production,2024 Recruiting Class,2024 Offense EFF,2024 Defense EFF,2024 Special Teams EFF,2024 FPI,6+ Wins 2024,Made Playoffs 2024,Made National Championship 2024,Won National Championship 2024,2025 Returning Production,2025 Recruiting Class
Central Michigan,MAC,,,36,25,50.3,-12.9,0,0,0,0,0.58,152.82,22.9,30.6,49.9,-14.4,0,0,0,0,0.53,150.6
Charlotte,AAC,,,17.7,42.3,39.4,-14.9,0,0,0,0,0.54,192.28,31.4,25.4,68.8,-13.4,0,0,0,0,0.3,148.62
Cincinnati,Big 12,,,51.4,35.8,37.7,-1.2,0,0,0,0,0.63,212.37,63,54.4,34.6,3.5,0,0,0,0,0.68,202.07
Clemson,ACC,,,48.5,87.9,39.1,13.5,1,0,0,0,0.68,272.16,78.8,68.1,37.1,14.3,1,1,0,0,0.81,240.69
Coastal Carolina,SBC,,,57.5,45.6,30,-2,1,0,0,0,0.48,186.74,40.6,40.2,41.4,-8.1,1,0,0,0,0.47,175.28
Colorado,Big 12,,,50.4,38.3,55.8,-2,0,0,0,0,0.71,257.17,69.1,69.6,35.2,11.4,1,0,0,0,0.5,241.47
CSU,Mountain West,,,27.8,37.5,56,-11.8,0,0,0,0,0.64,183.24,30.7,47.6,62.4,-9.1,1,0,0,0,0.48,178.23
Duke,ACC,,,61.9,65.1,62.9,8.9,1,0,0,0,0.56,213.38,39.2,70.7,54.2,2.5,1,0,0,0,0.58,224.35
Eastern Michigan,MAC,,,20.9,30.2,65.5,-16.7,1,0,0,0,0.44,177.57,26.8,34.9,54.1,-13,0,0,0,0,0.47,167.95
ECU,AAC,,,12.9,51.3,70.4,-7.9,0,0,0,0,0.6,191.62,36.6,47.5,63.8,-4.8,1,0,0,0,0.44,180.53
FAU,AAC,,,30.2,43,50.7,-7.2,0,0,0,0,0.43,188.63,26.3,35.2,31.6,-12,0,0,0,0,0.42,176.21
FIU,CUSA,,,13.8,27.3,51.1,-21.6,0,0,0,0,0.68,160.14,25.4,41.7,52.1,-12,0,0,0,0,0.45,168.1
Florida,SEC,,,67,42.5,57.2,6.4,0,0,0,0,0.68,288.11,56.9,74.2,67.1,13,1,0,0,0,0.66,285.16
Fresno State,Mountain West,,,50.2,44.1,54.4,-2.1,1,0,0,0,0.65,185.22,40.3,57.4,36.8,-3.2,1,0,0,0,0.4,168.47
FSU,ACC,,,68.2,80.9,57.6,16.8,1,0,0,0,0.56,280.77,22.4,44,73.5,-4.3,0,0,0,0,0.61,262.42
Georgia,SEC,,,90.3,76,48.8,26.7,1,0,0,0,0.68,319.02,76.4,75,53.5,21.4,1,1,0,0,0.45,307.92
Georgia Southern,SBC,,,42.6,36.8,53.4,-8.4,1,0,0,0,0.57,171.45,48.7,43.2,59,-3,1,0,0,0,0.61,182.34
Georgia State,SBC,,,51.3,35.2,59.1,-7,1,0,0,0,0.48,168.83,40,27.8,37.8,-10.4,0,0,0,0,0.46,186.66
Georgia Tech,ACC,,,65.8,45.3,56.5,4.1,1,0,0,0,0.66,217.82,68.7,54.7,37.8,6.5,1,0,0,0,0.64,248.68
Hawaii,Mountain West,,,28,28.2,33.7,-15,0,0,0,0,0.81,157.64,34.4,36.7,49.5,-11.7,0,0,0,0,0.58,128.94
Houston,Big 12,,,51.1,36.3,53.2,-2.1,0,0,0,0,0.61,217.3,24.9,65.2,48.7,-3.2,0,0,0,0,0.65,213.33
Illinois,Big 10,,,51.7,44,38.6,0.5,0,0,0,0,0.6,218.82,67.8,53.9,64.2,6.5,1,0,0,0,0.76,216.18
Indiana,Big 10,,,47.9,38.1,51.3,-2.7,0,0,0,0,0.64,218.79,83.8,71.5,41.7,19.4,1,1,0,0,0.61,223.01
Iowa,Big 10,,,16.2,84.9,62.6,4.7,1,0,0,0,0.79,218.11,49.2,73,72.8,11.5,1,0,0,0,0.57,223.09
Iowa State,Big 12,,,60.8,62.1,56.9,7.8,1,0,0,0,0.86,199.42,65.5,61.8,51.5,10.6,1,0,0,0,0.58,211.27
Jacksonville State,CUSA,,,31.3,60,55.1,-4.2,1,0,0,0,0.5,165.77,56.8,39.4,37.5,-1.3,1,0,0,0,0.28,163.42
JMU,SBC,,,53.3,66.1,62,5.7,1,0,0,0,0.4,186.99,40.5,62.7,51.3,2.7,1,0,0,0,0.59,175.94
Kansas,Big 12,,,83.2,53.6,43.8,9,1,0,0,0,0.59,222.9,75,52.3,46.1,9.1,0,0,0,0,0.54,209.43
Kansas State,Big 12,,,78.4,69,49.2,18.5,1,0,0,0,0.59,214.61,63.8,68.9,45.8,11,1,0,0,0,0.58,217.61
Kent State,MAC,,,17.5,18.8,41.1,-24,0,0,0,0,0.56,166.13,7.8,9.8,41.9,-30.8,0,0,0,0,0.43,166.54
Kentucky,SEC,,,63.5,60.8,51,7.8,1,0,0,0,0.72,251.1,40.6,62.2,62.7,4.7,0,0,0,0,0.6,243.88
LA Tech,CUSA,,,28.4,18.9,56.1,-15.6,0,0,0,0,0.42,177.18,16.7,54.2,58.6,-11,0,0,0,0,0.48,154.57
Liberty,CUSA,,,81.8,39.6,35.7,2.4,1,0,0,0,0.62,176.42,40.4,33.8,40.5,-8.3,1,0,0,0,0.66,185.99
Louisiana,SBC,,,51.1,39.8,54.2,-4.9,1,0,0,0,0.72,168.35,63.7,39.1,55.8,-1.6,1,0,0,0,0.41,177
Louisville,ACC,,,62.8,71.8,43.3,10.9,1,0,0,0,0.66,229.02,77.7,63.8,62.1,15.6,1,0,0,0,0.58,209.24
LSU,SEC,,,96.9,35.9,38.5,19.8,1,0,0,0,0.64,281.98,75.8,63.6,40.9,14,1,0,0,0,0.62,295.02
Marshall,SBC,,,28.1,54.7,38.9,-6.2,1,0,0,0,0.54,188.44,55.5,54.8,64.7,2.7,1,0,0,0,0.32,169.49
Maryland,Big 10,,,67.6,63.1,50.2,9.1,1,0,0,0,0.51,215.8,46.1,47.2,35.8,-0.1,0,0,0,0,0.51,241
Memphis,AAC,,,70.3,39.9,55.1,3.8,1,0,0,0,0.7,203.3,62.6,46.4,45.5,2.7,1,0,0,0,0.39,203.15
Miami University,MAC,,,33.1,65.8,77.9,-1.6,1,0,0,0,0.66,170.44,38.1,56.2,57.1,-1.9,1,0,0,0,0.32,176.41
Michigan,Big 10,,,87.6,92.9,44.2,28.4,1,1,1,1,0.36,263.9,42.8,76.4,72,10.4,1,0,0,0,0.64,294.8
Michigan State,Big 10,,,32.5,44.1,62.5,-3.6,0,0,0,0,0.6,234.8,43.2,47.9,52.1,-3.3,0,0,0,0,0.63,219.8
Middle Tennesee State,CUSA,,,31.4,43.6,43.5,-10.4,0,0,0,0,0.47,156.88,19.9,13.5,61.4,-19.4,0,0,0,0,0.56,169.99
Minnesota,Big 10,,,46.6,44.7,54.3,-0.7,1,0,0,0,0.71,233.32,59.2,76.7,41.5,10.4,1,0,0,0,0.62,219.12
Mississippi State,SEC,,,31,61.8,47.2,0.8,0,0,0,0,0.45,229.74,55.2,32.6,52.6,0.4,0,0,0,0,0.62,240.15
Missouri,SEC,,,78.9,73.3,46.3,16.5,1,0,0,0,0.71,259.98,63.7,71,34.9,12.5,1,0,0,0,0.6,272.5
Navy,AAC,,,11.4,54,54.3,-12.1,0,0,0,0,0.65,37.64,70.5,61.3,44.8,2,1,0,0,0,0.63,64.76
NC State,ACC,,,49.6,73.4,57.9,7.3,1,0,0,0,0.59,243.34,40.8,44,47.2,-0.6,1,0,0,0,0.62,216.34
Nebraska,Big 10,,,30.8,72.9,45.1,0.8,0,0,0,0,0.71,251.69,58.9,71.7,40.2,6.9,1,0,0,0,0.6,256.63
Nevada,Mountain West,,,11.9,34.8,45.7,-19,0,0,0,0,0.59,184.23,46.8,29.4,32.6,-8.5,0,0,0,0,0.29,169.18
New Mexico,Mountain West,,,50.4,14.2,28,-14.8,0,0,0,0,0.41,166.97,66.6,15,42.4,-10,0,0,0,0,0.27,161.63
New Mexico State,CUSA,,,58.4,31.6,60,-7.3,1,0,0,0,0.41,156.72,18.4,20,44.2,-20.9,0,0,0,0,0.65,147.9
NIU,MAC,,,37.1,43.2,44.5,-7,1,0,0,0,0.66,163.48,35.3,62.6,45.7,-3.7,1,0,0,0,0.23,169.71
North Texas,AAC,,,54.6,15.2,57.4,-10.4,0,0,0,0,0.5,184.54,52.2,32.9,44.8,-6.7,1,0,0,0,0.53,175.22
Northwestern,Big 10,,,43.8,58.7,58,0.8,1,0,0,0,0.59,179.52,26.6,50.5,53.1,-4.4,0,0,0,0,0.58,194.81
Notre Dame,Independent,,,79.4,79.7,55,22.1,1,0,0,0,0.53,281.83,77.7,86.1,51.9,25.2,1,1,1,0,0.57,274.65
ODU,SBC,,,25.2,53.6,42.9,-9.4,1,0,0,0,0.55,163.76,48.4,49.2,44.2,-2.6,0,0,0,0,0.57,159.87
Ohio,MAC,,,40.4,63.3,35,-4,1,0,0,0,0.38,169.05,53.3,57.6,47.6,-0.4,1,0,0,0,0.59,138.31
